S_No,City Name,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,"BARROW, AK",16,16,4.5,6,16,33,43.5,52,34.5,19.5,8,6
2,"BIG DELTA,AK",17,20.5,11,10,38.5,119,138.5,,51.5,36.5,29.5,19.5
3,"EL PASO, TX",22.5,19.5,13,11.5,19,43.5,74.5,87.5,80.5,,21,38.5
4,"YUMA, AZ",19,14,13.5,4.5,2.5,1,11.5,30.5,13,13,7,21
5,"FAIRBANKS, AK",28,18,14,10.5,30,70,86.5,87,56,46,34,37
6,"ROSWELL, NM",19.5,20.5,17.5,29,65,81,99.5,115.5,99,64.5,26.5,29.5
7,"GULKANA,AK",22.5,26,18,11,29.5,77,91,90,72,51,33.5,48.5
8,"KOTZEBUE, AK",27.5,21,19,20.5,16.5,28.5,71.5,100,85,47.5,35.5,30
9,"UNALAKLEET, AK",20,15.5,19.5,17.5,27.5,62.5,107.5,146,105,44.5,33,23.5
10,"MIDLAND-ODESSA, TX",26.5,29,21,36.5,89.5,85.5,94.5,88.5,115.5,88.5,32.5,32.5
11,"ALAMOSA, CO",12.5,10.5,23,27,35,29.5,47,59.5,44.5,33.5,24,16.5
12,"GLASGOW, MT",17.5,13,23.5,37.5,86,110,89,62.5,,35.5,19.5,18.5
13,"BETTLES,AK",42,30.5,27.5,,42.5,71.5,105,127,91,54,45,43.5
14,"LAS VEGAS, NV",29.5,34.5,29.5,7.5,12,4,22,22.5,15.5,12,15.5,
15,"NOME, AK",46,37.5,,32.5,37,57,107.5,161.5,125.5,79,64,50.5
16,"ALBUQUERQUE, NM",24.5,22,30.5,25,,32.5,,86.5,53.5,50,31,24.5
17,"WINSLOW, AZ",23,26.5,30.5,13.5,18,15,59,65.5,51,45,27.5,27
18,"BISHOP, CA",44,48.5,31,12,13,10.5,8.5,6.5,14,10,22,31
19,"CLAYTON, NM",15,13.5,31,49.5,104,110.5,140.5,,78,37,27,16
20,"HELENA, MT",26,19,31.5,45.5,89,91,67,64.5,52.5,,24,23
21,"ANCHORAGE, AK",,37,32.5,26,34.5,53,85,146.5,143.5,104,54.5,52.5
22,"BETHEL, AK",31,25.5,33.5,32.5,42.5,80,101.5,151,115.5,71.5,68.5,56
23,"HAVRE, MT",23.5,18,35,43.5,92,,75.5,60,51.5,31,22.5,25.5
24,"YAKIMA, WA",58.5,,35,26.5,25.5,31,11,18,19.5,26.5,,69
25,"WILLISTON, ND",27,19.5,37,52.5,94,118,114,74,67.5,43.5,32.5,28.5
