Open,High,Low,Close,Adj Close,Volume
154.11,154.48,151.74,152.7,152.7,25441500
154.15,155.14,151.7,153.92,153.92,23130600
156.41,156.73,152.62,153.3,153.3,30394000
157.5,157.88,155.98,156.82,156.82,33751000
154.2,157.66,153.26,155.86,155.86,29821200
153.08,155.88,153,154.94,154.94,30569700
150.27,153.39,150.05,153.07,153.07,28710900
150.85,151.27,149.22,150,150,32439200
152.88,153.7,151.51,152.29,152.29,27023200
152.5,153.97,150.86,153.8,153.8,35780700
151.29,154.53,149.63,153.31,153.31,45099100
149.56,151.82,148.52,150.75,150.75,41025300
148.7,148.83,145.9,147.93,147.93,54777800
144.53,148.55,143.8,148.26,148.26,58607100
143.98,145.72,142,142.19,142.19,91312200
154.89,158.85,154.23,157.92,157.92,37039700
